GC3,ENC_expected
0.01,31.5958
0.02,32.2032
0.03,32.8221
0.04,33.4525
0.05,34.0942
0.06,34.7471
0.07,35.411
0.08,36.0856
0.09,36.7707
0.1,37.4659
0.11,38.1707
0.12,38.8847
0.13,39.6074
0.14,40.3381
0.15,41.0762
0.16,41.8208
0.17,42.5712
0.18,43.3264
0.19,44.0854
0.2,44.8471
0.21,45.6102
0.22,46.3735
0.23,47.1355
0.24,47.8949
0.25,48.65
0.26,49.3991
0.27,50.1406
0.28,50.8725
0.29,51.593
0.3,52.3
0.31,52.9916
0.32,53.6656
0.33,54.32
0.34,54.9525
0.35,55.561
0.36,56.1434
0.37,56.6975
0.38,57.2211
0.39,57.7124
0.4,58.1692
0.41,58.5898
0.42,58.9723
0.43,59.3151
0.44,59.6167
0.45,59.8757
0.46,60.0912
0.47,60.2619
0.48,60.3873
0.49,60.4668
0.5,60.5
0.51,60.4868
0.52,60.4273
0.53,60.3219
0.54,60.1712
0.55,59.9757
0.56,59.7367
0.57,59.4551
0.58,59.1323
0.59,58.7698
0.6,58.3692
0.61,57.9324
0.62,57.4611
0.63,56.9575
0.64,56.4234
0.65,55.861
0.66,55.2725
0.67,54.66
0.68,54.0256
0.69,53.3716
0.7,52.7
0.71,52.013
0.72,51.3125
0.73,50.6006
0.74,49.8791
0.75,49.15
0.76,48.4149
0.77,47.6755
0.78,46.9335
0.79,46.1902
0.8,45.4471
0.81,44.7054
0.82,43.9664
0.83,43.2312
0.84,42.5008
0.85,41.7762
0.86,41.0581
0.87,40.3474
0.88,39.6447
0.89,38.9507
0.9,38.2659
0.91,37.5907
0.92,36.9256
0.93,36.271
0.94,35.6271
0.95,34.9942
0.96,34.3725
0.97,33.7621
0.98,33.1632
0.99,32.5758